YPLLRate,HealthPoorPct,LBWPct,ObeseAdultsPct,DrinkExcPct,HSGradRate,UnemployedPct,ViolsCrimeAnlAvg,WaterViol,DistressFreqPhysPct,HIVRate,FoodHealthLimAccPct,IncHousehldMedian,HomeownersPct
9175.475857,28.76292407,6.359649123,33.3,13.35090244,92.23744292,4.667507659,37.5,No,14.94421381,89.3,11.16325892,44100,74.88896481
11658.67578,27.93666261,12.5476897,42.9,12.55032273,81.06060606,5.15625,204,Yes,15.69351017,319.7,15.11994691,33257,57.09840112
11002.30718,22.6265688,7.861271676,38.9,12.64900236,94.91525424,4.540720683,30,No,14.75800586,64.9,13.56973216,34009,72.72910779
12070.75157,23.42252094,9.883073497,34.6,12.87547779,88.3161512,5.551378446,234,Yes,13.41316077,352.9,13.4867982,45335,74.74849095
6999.693666,20.14774338,7.980160312,29.8,17.00732717,87.38241972,2.603431537,699.5,Yes,12.5581501,170.7,6.060524659,50893,53.287306
9374.01626,20.22553819,8.060453401,31.4,15.03484265,86.27243928,4.374593027,189,Yes,13.06796755,110,5.210827067,44811,66.5482008
12034.6255,25.88739379,7.366482505,42.1,12.35474454,89.85507246,4.736656062,11,No,15.205464,141.8,2.633184273,34306,66.50519031
11024.78494,25.06272431,7.566999475,37.7,13.86090471,87.32876712,4.197530864,72.5,Yes,14.39413286,123.9,5.486704702,41729,70.2576425
4408.591049,12.41221904,7.258795725,19.4,19.88966944,86.81412894,2.999946947,10241.5,No,8.776849953,408,1.002539499,101744,53.26409133
7784.496104,17.4487559,6.034280348,27.2,20.20733398,84.51454322,4.958524807,734,Yes,12.60075162,124.8,7.437892003,50945,59.17024782
7345.885798,12.32914476,5.740884407,30.5,20.18106761,89.74895398,3.957660063,145.5,No,10.09799344,99.9,2.747715664,62984,77.65975771
6556.278705,19.41526547,6.324868232,40.5,20.12134238,89.3442623,12.92734069,43,Yes,12.18878936,34.5,2.951441934,57249,61.45086461
4623.509535,12.3004844,6.838562411,24,19.59570991,87.89724206,3.151424978,3772.5,Yes,9.329398046,256.2,2.96851047,101463,65.64952827
8954.901401,17.68336332,5.513307985,34.4,19.89952383,80.97826087,5.51149483,166.5,No,12.72345809,94.6,14.00130966,48518,62.40432697
5164.547354,12.03408866,6.586772391,22.5,22.29160361,89.36464088,3.570297743,399,No,9.898271673,116.5,6.057005218,81869,76.60614121
7006.615943,23.79711945,7.562364958,31.4,16.51386204,81.49611484,7.455509387,5264,Yes,13.04790306,233.3,4.161996053,52318,52.83365723
7364.310677,18.47334716,6.308324002,32.3,19.83658732,81.69642857,6.534157602,114,No,12.42438159,75.1,3.56795832,47365,59.70849556
8994.056564,15.68309618,5.807086614,29,20.62919343,83.82242287,3.561965507,583.5,No,12.31633254,175.8,6.192480829,49471,56.85407338
6213.398632,24.612959,5.52512503,34.6,17.11969222,85.24590164,18.09161917,629.5,No,14.17321348,198.7,9.204767067,46633,58.37210886
8740.010116,14.57614857,8.038808039,27.7,19.71901434,39.86254296,3.862464183,110,Yes,10.6788764,163,12.19186194,53793,63.21910182
7923.021508,22.52031905,7.250698975,32.3,18.29198312,85.78053653,7.975514022,4796.5,Yes,13.25426932,212.7,5.375653486,51586,58.00203798
6356.866936,21.44558932,6.361119656,29.4,20.66593478,80.44843049,7.743886633,667.5,Yes,13.26936375,132,4.864678661,58255,51.74681175
11305.4668,18.04353192,6.590645535,25.1,18.75564037,78.06191117,5.227366397,343,Yes,12.6592819,266.6,8.841796019,45086,66.07486713
7125.920718,15.20446073,7.606159589,40.9,23.872978,86.30573248,4.788362461,182.5,No,11.02065833,84.7,7.298171514,57705,67.89213104
5017.543169,16.41866935,7.133826857,21.7,18.86232279,81.56878369,4.669257746,49548.5,Yes,10.91667066,565.2,1.647795398,67986,45.81303883
6650.645287,22.54828299,6.29589426,35.8,19.55587506,83.20541761,7.014692498,956,Yes,13.40442462,141.1,9.380374066,53632,63.95808664
