"","YPLLRate","HealthBadDaysMentAvg","HospPrevRate","Income20thpcntl","InjuryDeathRate","LBWPct","LifeExpect","MammAnnualPct","PhysInactPct","SmokersPct","UnemployedPct","UninsAdultPct","VaccinatedPct"
"2702",6706.0233058,3.9316858909,6387,24062,81.032586676,6.5853658537,77.278817827,28,39.5,14.624651397,2.8303989302,34.288710241,33
"2704",10658.213693,4.2176857071,5826,24729,87.353658884,9.4620133552,74.015880509,35,38,16.419416545,5.7299906154,18.244918195,43
"2705",9445.5223174,4.3152996156,7224,19295,84.105478164,7.8571428571,75.874485914,32,30.2,15.966305298,3.3619668246,25.764111412,44
"2706",10291.611782,4.141908161,6038,20729,99.644006881,7.7704418487,74.965255384,33,26.4,15.843510038,4.2212654437,21.621621622,38
"2707",6627.2441242,3.7098460456,5568,34525,70.563167871,6.7543512658,78.429106007,39,29.8,13.861533433,3.109360519,17.357076385,46
"2709",6160.9004924,3.6960799361,5488,25137,64.253587492,9.5693779904,78.036363548,21,26.2,13.840546378,3.5923527598,27.532700692,16
"2710",10707.291292,4.170879371,3649,19675,118.254497,7.0808844109,73.346442903,39,30.9,16.389050824,5.0296188667,25.979468645,45
"2711",10383.566809,4.2060456532,4869,18922,88.356908964,9.6320023838,74.276504744,38,27.8,17.585883715,2.9167263867,29.194761605,47
"2714",6820.8122146,3.8062181276,3413,31437,64.228211146,7.7036013473,78.965612416,41,26.6,13.271109503,2.6241681261,15.612888801,49
"2717",11536.575474,4.3910049324,5711,15888,102.41904019,9.8765432099,75.126435656,36,39.6,16.970871195,5.4377699254,22.587751505,49
"2718",8348.5660301,3.7331789083,8746,20839,81.357198111,8.5629188384,78.164300022,29,25.6,14.629754016,2.1148367302,27.69763416,28
"2719",8973.2635964,4.0110495305,5967,18928,80.181375802,8.6294416244,76.871933561,27,27,13.956368873,4.6835443038,21.588594705,28
"2721",10509.181649,4.0754672553,6613,21114,72.27745062,9.6556380824,75.810840728,40,34.9,14.72178451,4.1410842587,21.836126247,41
"2722",4692.0152617,3.5725553309,4325,43865,40.204810537,7.7940348903,80.875873249,41,31.8,12.767917298,3.2196365955,15.846280764,51
"2723",7075.579089,4.1509502634,5117,19870,78.975248002,6.9199457259,77.478845735,33,28.5,15.016094594,3.1331028522,24.732315254,37
"2724",8624.0482359,4.1095563763,6312,22854,73.031519655,7.1994408201,76.79828009,40,32.1,16.745604024,4.0949049157,24.870089756,41
"2725",12162.23512,4.4469493842,4644,16966,111.38637629,7.7598828697,74.473611065,30,27.3,16.001867285,7.8755605381,24.070561457,40
"2726",13404.989672,4.502659618,5739,14347,93.105423988,9.4637223975,73.714648319,35,25.6,16.721798038,6.5282892534,21.904974348,45
"2727",10045.135546,4.2874941121,6641,21050,85.483592897,8.3540527101,76.506526105,28,26.1,16.528465331,4.9748220177,26.758104738,38
"2728",8714.4732494,3.9192566718,4167,22591,69.635603434,8.9127594716,76.206326636,37,33.8,15.141419345,6.3128068268,22.858462249,39
"2729",7928.45186,4.2106217311,4907,18840,71.234735414,6.0869565217,77.509937887,32,27,15.79116238,3.0146767156,33.647798742,23
"2731",7197.3507818,3.8975624274,4122,25164,68.451828476,8.7729697688,77.201107309,25,33.5,14.650100745,3.4151241211,21.886224076,31
"2733",10076.952162,4.3910818645,5265,17134,90.247749692,8.2526152654,75.131509905,29,30.6,17.439086874,4.3286139417,30.140511964,42
"2735",7397.8444914,4.1197737777,4844,22625,65.86572991,7.7370970747,78.281316909,49,27.6,15.871641939,3.6348251397,23.85967317,52
"2736",8676.1150867,4.2093203731,2754,20315,97.574258549,7.003257329,77.315324023,42,24.5,15.392775207,4.152087707,21.548561498,45
"2737",6696.7905373,4.7521186129,6903,12542,34.703658891,8.7623707328,79.066900675,26,27.6,18.830082122,10.104294722,39.604300091,25
"2738",9721.62801,4.2435264192,6845,17490,92.590644136,8.3682008368,76.123756217,26,32.8,16.143652313,3.6368196639,30.390353566,32
"2743",6413.3211171,3.8784872366,5733,29108,48.888670284,8.344893005,79.145421384,40,24.9,14.048999673,3.4923165085,21.662900625,49
"2744",9392.4617427,4.1120371232,4596,22971,78.191588463,8.8202790441,75.804963106,40,28,15.277754787,3.1726102069,20.307953595,44
"2746",9487.0021751,4.129073667,5911,23496,83.756064413,9.941089838,75.522186442,22,26.5,15.778872927,4.1124713083,30.547641659,41
"2748",7248.690596,4.2618400667,6155,21573,68.435395764,6.7123678949,77.641878584,29,35.2,16.197378193,5.0359156561,30.948383253,41
"2749",7521.9746535,3.8369165191,5480,23443,62.785610896,8.1738183798,77.836641796,39,24.8,14.144435869,3.1623573937,20.912940204,48
"2750",4617.7089197,3.4757679714,3953,30792,56.243541197,7.6838142128,81.777958702,41,16.6,12.481495582,2.8268766643,16.603088833,49
"2751",12810.841982,4.5671606752,4569,17644,110.38289065,7.3422957601,72.739209033,29,28.8,16.632064225,5.1440329218,23.874159584,37
"2752",10513.300563,3.9974455428,6608,18914,119.26947447,8.8315217391,75.713668212,29,33.7,15.101168377,6.5915251819,20.229078145,31
"2753",10484.97224,4.0494014884,5472,22760,75.806853918,7.4209245742,74.979200661,35,30,15.19085237,4.1813799675,21.594726234,43
"2755",6927.8503445,4.1815178259,4362,17396,47.188940092,7.1071428571,79.012660848,28,30.3,15.015463597,4.3021032505,28.022606472,32
"2756",6683.1362476,4.1618372798,3736,18946,43.220145481,6.4690026954,79.082539992,31,24.3,15.773577733,4.2846661775,29.328155633,25
"2757",9124.7438661,3.9906749153,5432,22686,84.922411796,6.7780654272,76.415048787,37,27.2,14.351332927,3.4892697236,24.397435897,40
"2758",7555.699888,4.0729185095,6477,23641,64.775708675,8.0605655756,78.435141347,40,29.8,14.51170796,3.811390362,21.730841827,48
"2759",6787.5082386,4.1318091231,6519,13723,58.312797697,7.9144871503,78.425540141,34,30.6,17.241100101,4.2094284522,21.983622995,42
"2760",6656.7281307,4.1921806058,5754,24140,62.793971779,7.7939835916,79.384208517,29,31.5,16.27770044,4.2920528929,28.718304967,43
"2762",6929.2862698,4.0022507545,3157,22909,64.216501347,7.9422382671,80.211442246,47,34.6,14.541904622,3.6549512228,22.621097955,41
"2763",6026.6208298,4.5340938811,5162,15551,42.627095372,8.0857228767,80.344890089,31,29.3,18.426031638,3.759875786,38.700868417,35
"2764",8481.6959247,4.1877621448,6304,20375,65.392160634,9.4440213252,76.949106973,33,26.8,15.445720424,3.716847217,25.460650577,36
"2765",10617.685573,4.157467124,7006,21180,98.303356878,6.8311195446,74.547429548,31,24.9,15.330999713,3.1527890057,27.943166441,36
"2766",9254.2690537,4.5026783624,4898,18861,74.549746804,8.2245649264,75.476002688,38,30.8,17.725334105,3.4138775798,21.180603771,44
"2767",8478.1381279,4.2904028478,6666,17653,82.201129102,8.5237258348,76.004375551,31,28.6,16.160630403,4.1458041258,25.535353535,49
"2768",8420.5610633,4.5407004925,5558,11610,48.751322265,8.6486486486,77.663524446,32,28.5,18.972376919,9.9357467482,28.918733458,53
"2769",4457.7774908,3.731825483,4189,40712,40.897534257,7.3943110355,81.985293049,46,19.8,12.565249776,3.0525811092,13.601408182,52
"2770",6707.1204317,3.7934069526,3592,30755,67.788203199,7.1641791045,79.512737001,35,33.9,13.170295705,3.0542433621,18.955335324,37
"2772",8351.6067675,3.8811884726,5664,27509,76.653932223,6.3923585599,76.231586933,32,30.7,14.610213349,3.4495067497,25.27301092,48
"2773",8652.6891969,3.9629685407,4489,21085,88.685543802,6.2521830248,77.027776953,43,31.9,13.611787946,4.2437871187,23.377832971,40
"2774",7148.8539901,3.9187845601,4852,27631,94.16417524,6.3506261181,78.2209672,22,27.9,13.830263694,2.8372591006,28.825396825,17
"2775",10208.551434,4.2318416277,5769,23697,99.123309397,4.7433398311,74.358174057,31,29.1,15.943558128,3.2368388909,26.267605634,38
"2777",8925.5601073,4.8835489362,5987,12960,57.89334392,8.8482074752,75.848908227,23,20,19.871283588,9.5463401058,25.560467319,26
"2778",7507.8023079,3.8819958928,5648,27250,99.243270066,7.9575596817,76.69076433,32,20.1,10.702726876,3.5169210352,14.306784661,25
"2779",6484.5355062,3.7662431811,2644,31973,82.774293314,6.6118476254,78.662392285,40,22.7,9.6577185179,3.0391193238,9.9623174753,44
"2780",4928.0147967,3.7712264792,1951,26193,52.495577818,6.4397710304,81.401185338,38,14.6,8.6107850519,2.6856564762,11.874711082,50
"2781",10052.385436,4.2230436444,2856,20517,115.57070381,10.447761194,75.581990633,41,23.3,12.187792529,4.5417010735,12.198863124,46
"2783",5090.8922372,3.6789518521,2052,41859,53.825600369,6.6807632281,80.559910379,40,17.7,8.8437250992,2.9339007691,8.3101898102,49
